feature,importancia
edr_apnea_power,0.1367587899684664
wav_energy_L5,0.11142759317561925
wav_energy_L3,0.08932793318523113
edr_apnea_norm,0.07805179309919688
edr_resp_power,0.051869260640871516
wav_entropy,0.048975339643364986
edr_apnea_resp_ratio,0.04845391601842929
cvhr_power,0.048229521698578366
cvhr_norm,0.04471670790178632
sd_hr,0.04057424893143772
vlf_power,0.03650691082537179
sdnn,0.035854264147330464
edr_resp_norm,0.03350993734224609
wav_energy_L1,0.029227562594481355
lf_power,0.028019494963930535
wav_energy_L4,0.026414803364788724
total_power,0.023619792772117166
lf_hf_ratio,0.02264355621647023
wav_energy_L2,0.022504643928443764
lf_norm,0.022381481323100184
hf_norm,0.020932448258738107
